Rank	Gene	Importance
1	ABCB1	5.214700
2	ACE	4.983100
3	ADA	4.812400
4	ADAM17	4.625300
5	STAT3	4.479700
6	AGER	4.310800
7	AGR2	4.152200
8	AIF1	4.024100
9	AIM1	3.913400
10	AKR1B1	3.852100
11	IL10	3.719300
12	ALDH16A1	3.610800
13	ALDOB	3.502400
14	ALG8	3.411200
15	ALS2CR12	3.305400
16	NOD2	2.863100
17	ALPK1	2.752300
18	ANK3	2.641200
19	ANKRD36	2.531800
20	ANPEP	2.412100
21	APOB	2.301400
22	AQP3	2.210800
23	ATG16L1	2.123400
24	ATP13A2	2.031200
25	ATP2A1	1.952100
26	B3GNT2	1.863400
27	BANK1	1.782100
28	BCL3	1.693400
29	BRD7	1.612400
30	BST2	1.531200
31	C1orf106	1.452100
32	C3	1.371200
33	CARD9	1.290800
34	CCL2	1.213400
35	CCL5	1.141200
36	CCR2	1.073100
37	CCR6	0.992400
38	CD244	0.921800
39	CD80	0.853100
40	CDKAL1	0.782400
41	CLEC2D	0.711800
42	CNTNAP2	0.652100
43	CRTC3	0.593400
44	CSMD1	0.531200
45	CSNK1G1	0.472100
46	CUL2	0.413400
47	CXCL10	0.362100
48	CYP1A1	0.311200
49	DAPK1	0.263400
50	DDX60	0.221800
